live_id,species,content,label,background
mminiso_us03,Toy & Handicraft,Pink,1,"The user likely wants to request or express interest in seeing the product in pink color, possibly following up on the previous mention of Stitch."
miniso_us03,Toy & Handicraft,Bunny and deer,1,"The user is likely expressing interest in plush toys or characters, possibly requesting to see bunny and deer-themed items next."
miniso_us03,Toy & Handicraft,What link is that?,1,"The user is asking for the purchase link of the previously mentioned items (Stitch, pink bunny, and deer)."
miniso_us03,Toy & Handicraft,bunny,1,"The user is likely referring to a previously mentioned bunny product or character, expressing interest or asking for more details about it."
miniso_us03,Toy & Handicraft,Omg so cute,1,The user is expressing admiration for the cute product (likely a bunny or deer-themed item) shown in the live.
miniso_us03,Toy & Handicraft,Woooooow!!!,0,The user is excitedly expressing admiration for the cute product (likely the bunny or deer) shown in the live.
miniso_us03,Toy & Handicraft,the card has a really cute design too,1,"The user is expressing admiration for the card's adorable design, likely in response to seeing a cute product like the previously mentioned Stitch, bunny, or deer items."
miniso_us03,Toy & Handicraft,Omg!! I need that!!,0,"The user is expressing strong excitement and a clear desire to purchase the item, likely influenced by the cute and appealing designs mentioned in previous comments."
miniso_us03,Toy & Handicraft,When can I get her?!,1,The user is excitedly asking when they can purchase the cute item (likely the bunny or deer) mentioned earlier in the chat.
miniso_us03,Toy & Handicraft,Omg can I see it again!!,1,"The user is excited and wants to rewatch a showcased product, likely the cute Stitch or bunny/deer item mentioned earlier, indicating strong purchase interest."
miniso_us03,Toy & Handicraft,The one posted yesterday,1,"The user is likely asking about the product shown in yesterday's livestream, possibly referencing a specific item mentioned in previous excited comments about cute designs."
miniso_us03,Toy & Handicraft,Thank you!,0,"The user is expressing gratitude for the product showcase, likely referring to the previously mentioned cute items like the bunny or Stitch."
miniso_us03,Toy & Handicraft,I see them in the back they are so cute!!,1,The user is excitedly expressing their admiration for the cute items (likely plush toys like Stitch or bunnies) shown in the background of the stream.
miniso_us03,Toy & Handicraft,bear is cute,1,"The user is expressing admiration for the bear's cuteness, likely referring to a product shown in the live, similar to others' positive reactions to cute items earlier."
miniso_us03,Toy & Handicraft,The purple one is so cute omg,1,"The user is expressing strong admiration for the purple item, likely indicating a desire to purchase it due to its cuteness."
miniso_us03,Toy & Handicraft,wolf,1,"The user is likely referring to another cute animal-themed product mentioned earlier, expressing interest in a ""wolf"" item similar to the bunny, deer, and bear discussed."
miniso_us03,Toy & Handicraft,Are the Sanrio authentic ?,1,The user is inquiring about the genuineness of the Sanrio products being showcased in the live stream.
miniso_us03,Toy & Handicraft,may I ask how many orders in line?,1,The user is likely inquiring about the current order queue length to estimate shipping wait times before deciding to purchase.
miniso_us03,Toy & Handicraft,i appreciate it!,0,"The user likely expresses gratitude for showcasing a product or answering their question, aligning with the appreciative tone in recent comments about cute items."
miniso_us03,Toy & Handicraft,How do I get a stitch holding scrump doll,1,"The user is asking where to purchase a Stitch-themed Scrump doll, showing clear interest in buying the product after seeing it featured in the live."
miniso_us03,Toy & Handicraft,So cute!,0,"The user is expressing admiration for the cute design of a product, likely referring to the bunny, deer, or another adorable item shown in the stream."
miniso_us03,Toy & Handicraft,"for rayan, is wither or backfire available?",1,"The user is inquiring about the availability of specific items (""wither"" or ""backfire"") for someone named Rayan, likely seeking purchase details."
miniso_us03,Toy & Handicraft,Do you have sample for Dora unrestrained,1,"The user is likely asking if there's a free trial or demo version available for the ""Dora unrestrained"" product, showing interest in trying it before purchasing."
miniso_us03,Toy & Handicraft,Super cute!,1,"The user is expressing admiration for the product's adorable design, likely reacting to a cute item being shown in the live."
miniso_us03,Toy & Handicraft,Here,0,"The user is likely indicating their presence or readiness to engage, possibly to ask a question or express interest in a product mentioned earlier."
miniso_us03,Toy & Handicraft,I actually have 2 more orders,0,The user is indicating they've already placed two orders and are considering purchasing more items from the current live stream.
miniso_us03,Toy & Handicraft,How cute!,0,"The user is expressing admiration for a product's adorable appearance, likely influenced by the ongoing discussion about cute items in the live."
miniso_us03,Toy & Handicraft,Ohhhhhh too cute,0,"The user is expressing enthusiastic admiration for the product's adorable appearance, likely reacting to a visually appealing item shown in the live."
miniso_us03,Toy & Handicraft,Hahahaha,0,The user is likely laughing in response to something amusing or cute mentioned in the previous comments about the products.
miniso_us03,Toy & Handicraft,Got 2,0,"The user likely means ""I've purchased two (items)"" or ""I already have two (of these)."""
miniso_us03,Toy & Handicraft,Yes can I switch to the green,1,The user is likely asking if they can change their order or selection to the green-colored item mentioned earlier in the chat.
miniso_us03,Toy & Handicraft,Aww thank you,0,"The user likely expresses gratitude and appreciation for the product or service mentioned earlier, possibly in response to a helpful answer or cute item showcase."
miniso_us03,Toy & Handicraft,I wanted the dinosaur,1,The user is expressing interest in purchasing the dinosaur item mentioned earlier in the chat.
miniso_us03,Toy & Handicraft,Just purchased a whole set for lilo & stitch,0,"The user is excitedly sharing that they've just bought a complete Lilo & Stitch merchandise collection, indicating strong purchase intent and satisfaction."
miniso_us03,Toy & Handicraft,i need one,1,"The user likely wants to purchase one of the items mentioned in the chat, possibly influenced by others' positive reactions to the products."
miniso_us03,Toy & Handicraft,this is Soo cute,1,"The user is expressing strong admiration for the product's adorable appearance, likely indicating genuine interest in purchasing it."
miniso_us03,Toy & Handicraft,shes gorgeous,1,"The user likely expresses admiration for the product's appearance, implying strong interest in purchasing it due to its beauty."
miniso_us03,Toy & Handicraft,yes,0,"The user is likely confirming or agreeing to a previous suggestion or offer, possibly about switching or selecting an item."
miniso_us03,Toy & Handicraft,what are missing from set,1,The user is likely asking which items are not included in a specific product set mentioned earlier in the chat.
miniso_us03,Toy & Handicraft,spot 1 according to a tiktok video unboxing,0,The user is likely asking if the product mentioned in a TikTok unboxing video (spot 1) is available in this livestream.
miniso_us03,Toy & Handicraft,so maybe random,0,The user is likely expressing playful uncertainty or lighthearted hesitation about a random choice among the cute items being discussed.
miniso_us03,Toy & Handicraft,who is the green one right in front with the horns?,1,"The user is likely asking for more details about the green character with horns in the foreground, possibly expressing interest in purchasing it."
miniso_us03,Toy & Handicraft,I put in order already for pooh secret,0,"The user is confirming they've already placed an order for the Winnie the Pooh secret item, likely responding to a product showcase or availability question."
miniso_us03,Toy & Handicraft,is it me yet!?,0,The user is likely excitedly asking if their order has been processed or if it's their turn to receive the product yet.
miniso_us03,Toy & Handicraft,Yay,0,"The user is likely expressing excitement or approval about the products being shown, similar to others' positive reactions in the chat."
miniso_us03,Toy & Handicraft,Fyp too :),0,"The user is casually acknowledging the algorithm's suggestion (""For You Page"") while showing light engagement with the cute products being discussed."
miniso_us03,Toy & Handicraft,judy,1,"The user is likely asking about the identity or availability of a product named ""Judy"" based on previous discussions of character-themed items."
miniso_us03,Toy & Handicraft,thumper so cuute,1,"The user likely finds the product adorable and is expressing their admiration, possibly indicating interest in purchasing it."
miniso_us03,Toy & Handicraft,Yes please switch,0,"The user likely wants to confirm their request to switch to a different product variant, possibly the green one mentioned earlier."
miniso_us03,Toy & Handicraft,Cuteeeee,1,"The user is expressing admiration for the product's adorable appearance, likely reacting to a cute item shown in the live."
miniso_us03,Toy & Handicraft,i ordered,0,The user is confirming they have already placed an order for the product being discussed in the live stream.
miniso_us03,Toy & Handicraft,do you have notes for rayan?,1,"The user is likely asking if the seller offers merchandise related to the character Rayan, showing interest in purchasing such items."
miniso_us03,Toy & Handicraft,how come some items can ship but some items cannot be shipped?,0,The user is confused about the inconsistent shipping policies for different items and seeks clarification on why some products are available for delivery while others aren't.
